기관명,WGS84위도,WGS84경도
여주천사들의집,37.2095345,127.6426692
소망원,38.0545243,127.38618410000001
브니엘노인전문병원,37.5440937318,127.62014073280001
홍영노인전문병원,37.557260256300005,127.7807774627
세종여주병원,37.301482489,127.6253165893
대암의료재단시애노병원,37.3255860772,127.66862073629999
